,Species Group,Number of Orthogroups,Number of genes,List of orthogroups,Sequence Name,Sequence Length,GOID,GOcount,GOterm,GOcategory,tophitGI,tophitaccession,Blast.Top.Hit.HSPs.Description,Blast.Top.Hit.E.Value,Blast.Top.Hit.Similarity,Interpro.Accession,Interpro.Type,Interpro.Name
865,NA,NA,NA,NA,PF3D7_0832200.2-p1,293,GO:0016021,1,integral component of membrane,Cellular Component,1013064615;296004776;1304174176,PKC46186;XP_002808740;CZT62764,"gi|1304174176|gb|PKC46186.1|hypothetical protein CK202_3273 [Plasmodium falciparum NF54]/gi|296004776|ref|XP_002808740.1|Plasmodium exported protein (PHISTa-like),unknown function [Plasmodium falciparum 3D7]/gi|1013064615|emb|CZT62764.1|Plasmodium exported protein (PHISTa-like),unknown function [Plasmodium falciparum 3D7]",0,100.00%,IPR006526;IPR019111;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Exported protein, PHISTa/b/c, conserved domain, Plasmodium;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
866,NA,NA,NA,NA,PF3D7_0832400.1-p1,304,GO:0016021,1,integral component of membrane,Cellular Component,1304174202;1013064617;1371546429,PKC46212;CZT62767;XP_024329069,gi|1371546429|ref|XP_024329069.1|stevor [Plasmodium falciparum 3D7]/gi|1304174202|gb|PKC46212.1|stevor [Plasmodium falciparum NF54]/gi|1013064617|emb|CZT62767.1|stevor [Plasmodium falciparum 3D7],0,100.00%,IPR006374;IPR006374,FAMILY;FAMILY,Variant surface antigen Stevor;Variant surface antigen Stevor
867,NA,NA,NA,NA,PF3D7_0832600.1-p1,317,GO:0016021,1,integral component of membrane,Cellular Component,296004768;1304174187;583226363;1013064619,EWC88884;PKC46197;XP_002808736;CZT62769,gi|296004768|ref|XP_002808736.1|stevor [Plasmodium falciparum 3D7]/gi|1013064619|emb|CZT62769.1|stevor [Plasmodium falciparum 3D7]/gi|583226363|gb|EWC88884.1|hypothetical protein PFNF54_02398 [Plasmodium falciparum NF54]/gi|1304174187|gb|PKC46197.1|stevor [Plasmodium falciparum NF54],0,100.00%,IPR006374;noIPR,FAMILY;FAMILY,Variant surface antigen Stevor;Variant surface antigen Stevor
868,NA,NA,NA,NA,PF3D7_0832700.1-p1,257,GO:0016020,1,membrane,Cellular Component,583226364,EWC88885,gi|583226364|gb|EWC88885.1|hypothetical protein PFNF54_02399 [Plasmodium falciparum NF54],1.00E-128,85.84%,noIPR;IPR019111;IPR006526,DOMAIN;DOMAIN;DOMAIN,"Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium RESA, N-terminal;Exported protein, PHISTa/b/c, conserved domain, Plasmodium"
869,NA,NA,NA,NA,PF3D7_0832900.1-p1,304,GO:0016021,1,integral component of membrane,Cellular Component,583226365,EWC88886,gi|583226365|gb|EWC88886.1|hypothetical protein PFNF54_02400 [Plasmodium falciparum NF54],0,100.00%,IPR006374;IPR006374,FAMILY;FAMILY,Variant surface antigen Stevor;Variant surface antigen Stevor
870,NA,NA,NA,NA,PF3D7_0833300.1-p1,394,GO:0000981;GO:0005634;GO:0006357;GO:0008270;GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,14,"DNA-binding transcription factor activity, RNA polymerase II-specific;nucleus;regulation of transcription by RNA polymerase II;zinc ion binding;pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Molecular Function;Cellular Component;Biological Process;Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,583227158,EWC89553,gi|583227158|gb|EWC89553.1|hypothetical protein PFNF54_01643 [Plasmodium falciparum NF54],0,99.74%,noIPR;IPR029211;noIPR;noIPR,FAMILY;DOMAIN;DOMAIN;DOMAIN,"Variant surface antigen Stevor;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment"
871,NA,NA,NA,NA,PF3D7_0833500.1-p1,2269,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1013064626;296004752;1304174199,PKC46209;XP_002808728;CZT62778,"gi|1013064626|emb|CZT62778.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]/gi|1304174199|gb|PKC46209.1|erythrocyte membrane protein 1 [Plasmodium falciparum NF54]/gi|296004752|ref|XP_002808728.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]",0,100.00%,noIPR;noIPR;noIPR;IPR008602;IPR029211;noIPR;noIPR;IPR029210;IPR004258;IPR042202;noIPR;IPR041480;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;HOMOLOGOUS_SUPERFAMILY;HOMOLOGOUS_SUPERFAMILY;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Variant surface antigen Stevor;Variant surface antigen Stevor;Variant surface antigen Stevor;Duffy-antigen binding;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein-1, N-terminal segment;Duffy-binding-like domain;Duffy-antigen binding superfamily;Duffy-antigen binding superfamily;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma;Cysteine-rich interdomain region 1 gamma"
872,NA,NA,NA,NA,PF3D7_0900100.1-p1,2270,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304173132;124506559;23504904,PKC45151;CAD51687;XP_001351877,"gi|124506559|ref|XP_001351877.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]/gi|23504904|emb|CAD51687.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]/gi|1304173132|gb|PKC45151.1|erythrocyte membrane protein 1 [Plasmodium falciparum NF54]",0,100.00%,noIPR;noIPR;IPR029211;noIPR;IPR029210;IPR041480;IPR004258;noIPR;IPR042202;noIPR;IPR008602;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;HOMOLOGOUS_SUPERFAMILY;HOMOLOGOUS_SUPERFAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,"Exported protein, PHISTa/b/c, conserved domain, Plasmodium;Exported protein, PHISTa/b/c, conserved domain, Plasmodium;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein-1, N-terminal segment;Cysteine-rich interdomain region 1 gamma;Duffy-binding-like domain;Duffy-binding-like domain;Duffy-antigen binding superfamily;Duffy-antigen binding superfamily;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding"
873,NA,NA,NA,NA,PF3D7_0900800.1-p1,455,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304174398;124799939;1016051283,PKC46405;CZT98015;XP_001349517,"gi|1304174398|gb|PKC46405.1|erythrocyte membrane protein 1 (PfEMP1) [Plasmodium falciparum NF54]/gi|124799939|ref|XP_001349517.1|erythrocyte membrane protein 1 (PfEMP1), exon 2 [Plasmodium falciparum 3D7]/gi|1016051283|emb|CZT98015.1|erythrocyte membrane protein 1 (PfEMP1), exon 2 [Plasmodium falciparum 3D7]",0,79.69%,IPR029211;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment"
874,NA,NA,NA,NA,PF3D7_0900900.1-p1,300,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,1013064450;1371546449;1304173237,PKC45256;XP_001351884;CAD51695,gi|1304173237|gb|PKC45256.1|stevor [Plasmodium falciparum NF54]/gi|1371546449|ref|XP_001351884.2|stevor [Plasmodium falciparum 3D7]/gi|1013064450|emb|CAD51695.2|stevor [Plasmodium falciparum 3D7],0,100.00%,IPR006374;IPR006374;noIPR,FAMILY;FAMILY;FAMILY,Variant surface antigen Stevor;Variant surface antigen Stevor;Variant surface antigen Stevor
875,NA,NA,NA,NA,PF3D7_0901200.1-p1,70,GO:0016021,1,integral component of membrane,Cellular Component,574998228;579108103;23504914;574972897;574993361;574747254;574965629;1371546505;574978430;914550553;1304172887;583222334,EUR56951;PKC44906;EWC85430;ETW54477;CAD51698;XP_024328906;ETW40232;ETW35106;ETW28842;ETW58799;ETW15686;KOB63139,"gi|23504914|emb|CAD51698.1|Plasmodium exported protein, unknown function,fragment [Plasmodium falciparum 3D7]/gi|583222334|gb|EWC85430.1|hypothetical protein PFNF54_05904 [Plasmodium falciparum NF54]/gi|574998228|gb|ETW58799.1|hypothetical protein PFMC_05892 [Plasmodium falciparum CAMP/Malaysia]/gi|574965629|gb|ETW28842.1|hypothetical protein PFFCH_03762 [Plasmodium falciparum FCH/4]/gi|574972897|gb|ETW35106.1|hypothetical protein PFTANZ_04189 [Plasmodium falciparum Tanzania (2000708)]/gi|574978430|gb|ETW40232.1|hypothetical protein PFNF135_05460 [Plasmodium falciparum NF135/5.C10]/gi|1304172887|gb|PKC44906.1|hypothetical protein CK202_3894 [Plasmodium falciparum NF54]/gi|574747254|gb|ETW15686.1|hypothetical protein PFFVO_05466 [Plasmodium falciparum Vietnam Oak-Knoll (FVO)]/gi|579108103|gb|EUR56951.1|hypothetical protein PFBG_05980 [Plasmodium falciparum 7G8]/gi|574993361|gb|ETW54477.1|hypothetical protein PFUGPA_04343 [Plasmodium falciparum Palo Alto/Uganda]/gi|914550553|gb|KOB63139.1|hypothetical protein PFHG_04922 [Plasmodium falciparum HB3]/gi|1371546505|ref|XP_024328906.1|Plasmodium exported protein, unknown function,fragment [Plasmodium falciparum 3D7]",2.80E-44,100.00%,IPR019111,DOMAIN,"Plasmodium RESA, N-terminal"
876,NA,NA,NA,NA,PF3D7_0901600.1-p1,303,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,124506587;23504918;1304172915,PKC44934;CAD51702;XP_001351891,gi|23504918|emb|CAD51702.1|stevor [Plasmodium falciparum 3D7]/gi|1304172915|gb|PKC44934.1|stevor [Plasmodium falciparum NF54]/gi|124506587|ref|XP_001351891.1|stevor [Plasmodium falciparum 3D7],0,100.00%,IPR006374;IPR006374,FAMILY;FAMILY,Variant surface antigen Stevor;Variant surface antigen Stevor
877,NA,NA,NA,NA,PF3D7_0901900.1-p1,411,GO:0004672;GO:0005524;GO:0006468;GO:0016021,4,protein kinase activity;ATP binding;protein phosphorylation;integral component of membrane,Molecular Function;Molecular Function;Biological Process;Cellular Component,1304173103;1371546453;1013064452,PKC45122;XP_024328907;CAD51704,"gi|1371546453|ref|XP_024328907.1|probable protein, unknown function [Plasmodium falciparum 3D7]/gi|1304173103|gb|PKC45122.1|hypothetical protein CK202_4116 [Plasmodium falciparum NF54]/gi|1013064452|emb|CAD51704.2|probable protein, unknown function [Plasmodium falciparum 3D7]",0,100.00%,,,
878,NA,NA,NA,NA,PF3D7_0931300.1-p1,305,,NA,,,1304173208;124507165;583226011;23505210,PKC45227;EWC88596;XP_001352179;CAD51990,"gi|23505210|emb|CAD51990.1|asparagine-rich antigen, putative [Plasmodium falciparum 3D7]/gi|1304173208|gb|PKC45227.1|hypothetical protein CK202_4222 [Plasmodium falciparum NF54]/gi|583226011|gb|EWC88596.1|hypothetical protein PFNF54_02627 [Plasmodium falciparum NF54]/gi|124507165|ref|XP_001352179.1|asparagine-rich antigen, putative [Plasmodium falciparum 3D7]",0,100.00%,noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
879,NA,NA,NA,NA,PF3D7_0936000.1-p1,94,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1013064490;1304173088;296005321,PKC45107;XP_002808989;CAD52034,gi|1013064490|emb|CAD52034.2|ring-exported protein 2 [Plasmodium falciparum 3D7]/gi|296005321|ref|XP_002808989.1|ring-exported protein 2 [Plasmodium falciparum 3D7]/gi|1304173088|gb|PKC45107.1|ring-exported protein 2 [Plasmodium falciparum NF54],1.50E-62,100.00%,,,
880,NA,NA,NA,NA,PF3D7_0936600.1-p1,297,GO:0016021;GO:0044164,2,integral component of membrane;host cell cytosol,Cellular Component;Cellular Component,124507267;574750696;23505260;914549000;574967722;583215472;574995825;579123633;575001085;579335327;574974463;574981150;1304173154,EUR72224;PKC45173;ETW56857;XP_001352230;CAD52040;ETW42915;EWC76614;ETW36586;ETW30809;ETW61550;ETW18783;EUT86180;KOB61962,gi|914549000|gb|KOB61962.1|hypothetical protein PFHG_03698 [Plasmodium falciparum HB3]/gi|574967722|gb|ETW30809.1|hypothetical protein PFFCH_01765 [Plasmodium falciparum FCH/4]/gi|574974463|gb|ETW36586.1|hypothetical protein PFTANZ_02710 [Plasmodium falciparum Tanzania (2000708)]/gi|579335327|gb|EUT86180.1|hypothetical protein PFAG_02639 [Plasmodium falciparum Santa Lucia]/gi|23505260|emb|CAD52040.1|gametocyte exported protein 5 [Plasmodium falciparum 3D7]/gi|124507267|ref|XP_001352230.1|gametocyte exported protein 5 [Plasmodium falciparum 3D7]/gi|574750696|gb|ETW18783.1|hypothetical protein PFFVO_02678 [Plasmodium falciparum Vietnam Oak-Knoll (FVO)]/gi|575001085|gb|ETW61550.1|hypothetical protein PFMC_02641 [Plasmodium falciparum CAMP/Malaysia]/gi|583215472|gb|EWC76614.1|hypothetical protein C923_02723 [Plasmodium falciparum UGT5.1]/gi|574995825|gb|ETW56857.1|hypothetical protein PFUGPA_01189 [Plasmodium falciparum Palo Alto/Uganda]/gi|579123633|gb|EUR72224.1|hypothetical protein PFBG_02726 [Plasmodium falciparum 7G8]/gi|1304173154|gb|PKC45173.1|gametocyte exported protein 5 [Plasmodium falciparum NF54]/gi|574981150|gb|ETW42915.1|hypothetical protein PFNF135_02809 [Plasmodium falciparum NF135/5.C10],0,100.00%,noIPR;IPR006526;noIPR;IPR019111;noIPR,FAMILY;DOMAIN;DOMAIN;DOMAIN;DOMAIN,"Duffy-antigen binding;Exported protein, PHISTa/b/c, conserved domain, Plasmodium;Exported protein, PHISTa/b/c, conserved domain, Plasmodium;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
881,NA,NA,NA,NA,PF3D7_0936900.1-p1,362,GO:0016021,1,integral component of membrane,Cellular Component,164419780,ABY54982,gi|164419780|gb|ABY54982.1|PFI1785w [Plasmodium falciparum],0,99.72%,noIPR;IPR019111;noIPR;noIPR,FAMILY;DOMAIN;DOMAIN;DOMAIN,"Variant surface antigen Stevor;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
882,NA,NA,NA,NA,PF3D7_0937000.1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,1304172893;225631878;583225942;296005323,EWC88536;PKC44912;XP_002808990;CAX64271,"gi|1304172893|gb|PKC44912.1|hypothetical protein CK202_3900 [Plasmodium falciparum NF54]/gi|296005323|ref|XP_002808990.1|Plasmodium exported protein (PHISTb), unknown function [Plasmodium falciparum 3D7]/gi|583225942|gb|EWC88536.1|hypothetical protein PFNF54_02671 [Plasmodium falciparum NF54]/gi|225631878|emb|CAX64271.1|Plasmodium exported protein (PHISTb), unknown function [Plasmodium falciparum 3D7]",0,100.00%,IPR019111;noIPR,DOMAIN;DOMAIN,"Plasmodium RESA, N-terminal;Plasmodium RESA, N-terminal"
883,NA,NA,NA,NA,PF3D7_0937100.1-p1,258,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,579123639;583225943;124507277;23505265;1304172980,EUR72230;PKC44999;EWC88537;CAD52045;XP_001352235,"gi|583225943|gb|EWC88537.1|hypothetical protein PFNF54_02672 [Plasmodium falciparum NF54]/gi|579123639|gb|EUR72230.1|hypothetical protein PFBG_02732 [Plasmodium falciparum 7G8]/gi|23505265|emb|CAD52045.1|Plasmodium exported protein, unknown function [Plasmodium falciparum 3D7]/gi|124507277|ref|XP_001352235.1|Plasmodium exported protein, unknown function [Plasmodium falciparum 3D7]/gi|1304172980|gb|PKC44999.1|hypothetical protein CK202_3989 [Plasmodium falciparum NF54]",7.90E-174,100.00%,noIPR,DOMAIN,"Exported protein, PHISTa/b/c, conserved domain, Plasmodium"
884,NA,NA,NA,NA,PF3D7_0937600.1-p1,1315,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,23505270;124507287;1304173090,PKC45109;XP_001352240;CAD52050,"gi|23505270|emb|CAD52050.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]/gi|1304173090|gb|PKC45109.1|erythrocyte membrane protein 1 [Plasmodium falciparum NF54]/gi|124507287|ref|XP_001352240.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]",0,100.00%,noIPR;noIPR;noIPR;noIPR;IPR029211;noIPR;IPR042202;IPR029210;IPR042202;IPR008602;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;HOMOLOGOUS_SUPERFAMILY;DOMAIN;HOMOLOGOUS_SUPERFAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,"Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Duffy-antigen binding superfamily;Plasmodium falciparum erythrocyte membrane protein-1, N-terminal segment;Duffy-antigen binding superfamily;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding"
885,NA,NA,NA,NA,PF3D7_0937800.1-p1,2264,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,124507291;23505272;1304173155,PKC45174;CAD52052;XP_001352242,"gi|124507291|ref|XP_001352242.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]/gi|1304173155|gb|PKC45174.1|erythrocyte membrane protein 1 [Plasmodium falciparum NF54]/gi|23505272|emb|CAD52052.1|erythrocyte membrane protein 1, PfEMP1 [Plasmodium falciparum 3D7]",0,100.00%,noIPR;noIPR;noIPR;IPR042202;IPR029210;IPR029211;noIPR;noIPR;IPR004258;noIPR;IPR041480;IPR008602;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR;noIPR,null;null;null;HOMOLOGOUS_SUPERFAMILY;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;DOMAIN;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,"null;null;null;Duffy-antigen binding superfamily;Plasmodium falciparum erythrocyte membrane protein-1, N-terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Plasmodium falciparum erythrocyte membrane protein 1, acidic terminal segment;Duffy-binding-like domain;Duffy-binding-like domain;Cysteine-rich interdomain region 1 gamma;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding;Duffy-antigen binding"
