,Species Group,Number of Orthogroups,Number of genes,Sequence Name,Sequence Length,GOID,Gocount,Goterm,Gocategory,tophitGI,tophitaccession,List of orthogroups
871,NA,NA,NA,PF3D7_0833500.1-p1,2269,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1013064626;296004752;1304174199,PKC46209;XP_002808728;CZT62778,NA
872,NA,NA,NA,PF3D7_0900100.1-p1,2270,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304173132;124506559;23504904,PKC45151;CAD51687;XP_001351877,NA
873,NA,NA,NA,PF3D7_0900800.1-p1,455,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304174398;124799939;1016051283,PKC46405;CZT98015;XP_001349517,NA
874,NA,NA,NA,PF3D7_0900900.1-p1,300,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,1013064450;1371546449;1304173237,PKC45256;XP_001351884;CAD51695,NA
875,NA,NA,NA,PF3D7_0901200.1-p1,70,GO:0016021,1,integral component of membrane,Cellular Component,574998228;579108103;23504914;574972897;574993361;574747254;574965629;1371546505;574978430;914550553;1304172887;583222334,EUR56951;PKC44906;EWC85430;ETW54477;CAD51698;XP_024328906;ETW40232;ETW35106;ETW28842;ETW58799;ETW15686;KOB63139,NA
876,NA,NA,NA,PF3D7_0901600.1-p1,303,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,124506587;23504918;1304172915,PKC44934;CAD51702;XP_001351891,NA
877,NA,NA,NA,PF3D7_0901900.1-p1,411,GO:0004672;GO:0005524;GO:0006468;GO:0016021,4,protein kinase activity;ATP binding;protein phosphorylation;integral component of membrane,Molecular Function;Molecular Function;Biological Process;Cellular Component,1304173103;1371546453;1013064452,PKC45122;XP_024328907;CAD51704,NA
878,NA,NA,NA,PF3D7_0931300.1-p1,305,,NA,,,1304173208;124507165;583226011;23505210,PKC45227;EWC88596;XP_001352179;CAD51990,NA
879,NA,NA,NA,PF3D7_0936000.1-p1,94,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1013064490;1304173088;296005321,PKC45107;XP_002808989;CAD52034,NA
880,NA,NA,NA,PF3D7_0936600.1-p1,297,GO:0016021;GO:0044164,2,integral component of membrane;host cell cytosol,Cellular Component;Cellular Component,124507267;574750696;23505260;914549000;574967722;583215472;574995825;579123633;575001085;579335327;574974463;574981150;1304173154,EUR72224;PKC45173;ETW56857;XP_001352230;CAD52040;ETW42915;EWC76614;ETW36586;ETW30809;ETW61550;ETW18783;EUT86180;KOB61962,NA
881,NA,NA,NA,PF3D7_0936900.1-p1,362,GO:0016021,1,integral component of membrane,Cellular Component,164419780,ABY54982,NA
882,NA,NA,NA,PF3D7_0937000.1-p1,357,GO:0016021,1,integral component of membrane,Cellular Component,1304172893;225631878;583225942;296005323,EWC88536;PKC44912;XP_002808990;CAX64271,NA
883,NA,NA,NA,PF3D7_0937100.1-p1,258,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,579123639;583225943;124507277;23505265;1304172980,EUR72230;PKC44999;EWC88537;CAD52045;XP_001352235,NA
884,NA,NA,NA,PF3D7_0937600.1-p1,1315,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,23505270;124507287;1304173090,PKC45109;XP_001352240;CAD52050,NA
885,NA,NA,NA,PF3D7_0937800.1-p1,2264,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,124507291;23505272;1304173155,PKC45174;CAD52052;XP_001352242,NA
886,NA,NA,NA,PF3D7_1000100.1-p1,2241,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1016051503;1304171557;124801837,PKC43582;CZT98248;XP_001347288,NA
887,NA,NA,NA,PF3D7_1000700.1-p1,286,GO:0016021,1,integral component of membrane,Cellular Component,910271926,KNG75461,NA
888,NA,NA,NA,PF3D7_1000800.1-p1,291,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,579318947;574981036,ETW42802;EUT70108,NA
889,NA,NA,NA,PF3D7_1000900.1-p1,442,GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0046789;GO:0050839,7,"host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;host cell surface receptor binding;cell adhesion molecule binding",Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Molecular Function;Molecular Function,1370963517,SOS79565,NA
890,NA,NA,NA,PF3D7_1001800.1-p1,260,GO:0016021,1,integral component of membrane,Cellular Component,574987925;579335111;1016051518;583215393;583225777;1304171295;579123491;574750072;258596963;574974430,EUR72099;EWC88389;PKC43320;ETW49190;CZT98266;XP_001347307;EWC76554;ETW36555;ETW18180;EUT85967,NA
891,NA,NA,NA,PF3D7_1002000.1-p1,469,GO:0016021,1,integral component of membrane,Cellular Component,1304171519;124801931;1016051520,PKC43544;CZT98268;XP_001347309,NA
892,NA,NA,NA,PF3D7_1002100.1-p1,631,GO:0016021,1,integral component of membrane,Cellular Component,1304171606;1016051521;124801935,PKC43631;CZT98269;XP_001347310,NA
893,NA,NA,NA,PF3D7_1002200.1-p1,979,GO:0009986;GO:0016021,2,cell surface;integral component of membrane,Cellular Component;Cellular Component,124801939;1304171339;1016051522,PKC43364;XP_001347311;CZT98270,NA
894,NA,NA,NA,PF3D7_1016300.1-p1,824,GO:0016021;GO:0030430,2,integral component of membrane;host cell cytoplasm,Cellular Component;Cellular Component,59797635;124802344;1304171556;1016051667,PKC43581;Q8I6U8;XP_001347444;CZT98416,NA
895,NA,NA,NA,PF3D7_1016500.1-p1,767,GO:0016021,1,integral component of membrane,Cellular Component,1016051669;258597042;1304171490,PKC43515;XP_001347446;CZT98418,NA
896,NA,NA,NA,PF3D7_1016700.1-p1,830,GO:0016021,1,integral component of membrane,Cellular Component,583222771;1304171531;1016051671;258597044,EWC85822;PKC43556;XP_001347447;CZT98420,NA
897,NA,NA,NA,PF3D7_1016900.1-p1,108,GO:0016021;GO:0020005,2,integral component of membrane;symbiont-containing vacuole membrane,Cellular Component;Cellular Component,583222769;1304171455;1016051673;574980969;258597046;579123291;579334952,EUR71910;EWC85820;PKC43480;XP_001347449;CZT98422;ETW42736;EUT85811,NA
898,NA,NA,NA,PF3D7_1018400.1-p1,199,GO:0016021,1,integral component of membrane,Cellular Component,258597052;1016051689;1304171546;574980985;579334968,PKC43571;XP_001347463;CZT98438;ETW42752;EUT85827,NA
899,NA,NA,NA,PF3D7_1035100.1-p1,561,,NA,,,1304171578;124802889;583225006;1016051858,PKC43603;EWC87741;XP_001347626;CZT98608,NA
900,NA,NA,NA,PF3D7_1035400.1-p1,354,,NA,,,1304171631;124802901;507789;1016051861;574987643;906521495,KNC35146;PKC43656;ETW48915;CZT98611;XP_001347629;AAC09377,NA
901,NA,NA,NA,PF3D7_1035500.1-p1,371,GO:0005515;GO:0030260,2,protein binding;entry into host cell,Molecular Function;Biological Process,42374900;574971014;1304171336;910271300;124802905;583225002;1016051862;10312227;215260683,EWC87737;PKC43361;KNG74835;XP_001347630;CZT98612;AAS13450;AAG15394;ACJ64712;ETW33394,NA
902,NA,NA,NA,PF3D7_1035600.1-p1,424,,NA,,,914578402;574971015;575000711;574987645;1016051863;583225001;583214959;1304171424;124802909;574995416;574980779,EWC87736;PKC43449;KOB84828;ETW56452;ETW48917;CZT98613;XP_001347631;ETW42547;EWC76208;ETW33395;ETW61179,NA
903,NA,NA,NA,PF3D7_1035700.1-p1,697,GO:0005515;GO:0009405;GO:0009986;GO:0016021;GO:0030260;GO:0044650;GO:0044764;GO:0046789,8,protein binding;pathogenesis;cell surface;integral component of membrane;entry into host cell;adhesion of symbiont to host cell;multi-organism cellular process;host cell surface receptor binding,Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function,124802912;1304171516;583224999;1016051864,PKC43541;EWC87734;CZT98614;XP_001347632,NA
904,NA,NA,NA,PF3D7_1036000.1-p1,405,GO:0009986;GO:0019898,2,cell surface;extrinsic component of membrane,Cellular Component;Cellular Component,906522316;914578407;574987650;575000717;574749899;910271306;583214963;1304171468;914547633;1016051867;574980787;574995423;124802925,KNC35746;KNG74841;KOB84833;PKC43493;ETW56459;ETW48922;CZT98617;XP_001347636;ETW42555;EWC76212;ETW61185;ETW18027;KOB60766,NA
905,NA,NA,NA,PF3D7_1036300.1-p1,762,GO:0005515;GO:0009405;GO:0009986;GO:0016021;GO:0042493;GO:0044650;GO:0044764;GO:0046789;GO:0046872,9,protein binding;pathogenesis;cell surface;integral component of membrane;response to drug;adhesion of symbiont to host cell;multi-organism cellular process;host cell surface receptor binding;metal ion binding,Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,583224994;1016051868;124802934,EWC87729;CZT98618;XP_001347639,NA
906,NA,NA,NA,PF3D7_1036500.1-p1,555,,NA,,,1016051870;583224992;1304171348;124802939,EWC87727;PKC43373;CZT98620;XP_001347641,NA
907,NA,NA,NA,PF3D7_1038500.1-p1,374,GO:0016021,1,integral component of membrane,Cellular Component,574980613;574973987;1304171579;124803000;579333917;910272011;914579128;1016051892;583225580,EWC88238;PKC43604;KNG75546;KOB85550;XP_001347659;CZT98642;ETW42382;ETW36136;EUT84791,NA
908,NA,NA,NA,PF3D7_1038700.1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,1371546771;1304171624;1016051894,PKC43649;CZT98644;XP_001347661,NA
909,NA,NA,NA,PF3D7_1039400.1-p1,425,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,1370996830,SOS76647,NA
910,NA,NA,NA,PF3D7_1039700.1-p1,231,GO:0016021;GO:0020005;GO:0020036;GO:0042000,4,integral component of membrane;symbiont-containing vacuole membrane;Maurer's cleft;translocation of peptides or proteins into host,Cellular Component;Cellular Component;Cellular Component;Biological Process,1016051898;258597173,XP_001347674;CZT98652,NA
911,NA,NA,NA,PF3D7_1039800.1-p1,230,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1369352664;914551181;296004788;1304171500;23510590;1016051926;914551711;124505141;1304174306;914580067;574969255;574982179;124505667;4493996;1304176020;1016051492;124803036;574996648;225632130;1304173452;124801540;1016051899;1304177162;124803405;914551743,KOB86486;PKC48003;PKC43525;PKC45468;PKC46313;PKC49098;ETW57622;SOS81774;CZT98684;XP_001347705;XP_001350947;XP_002808746;CAB39055;CZT98235;CZT98653;XP_001349724;XP_001351312;XP_001347675;CAD48972;CAX64019;ETW43933;ETW32260;KOB63837;KOB63861;KOB63509,NA
912,NA,NA,NA,PF3D7_1039900.1-p1,308,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,124803040;1304171581;1016051900,PKC43606;CZT98654;XP_001347676,NA
913,NA,NA,NA,PF3D7_1040200.1-p1,305,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,1016051903;124803046;583225563;1304171666,EWC88224;PKC43691;CZT98657;XP_001347679,NA
914,NA,NA,NA,PF3D7_1041300.1-p1,2194,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,258597176;1016051914;1304171650,PKC43675;CZT98668;XP_001347690,NA
915,NA,NA,NA,PF3D7_1100100.1-p1,2182,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304177053;1016051916;124803374,PKC48989;XP_001347691;CZT98669,NA
916,NA,NA,NA,PF3D7_1100200.1-p1,2994,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,124803377;1016051917;1304177211,PKC49147;XP_001347692;CZT98670,NA
917,NA,NA,NA,PF3D7_1100600.1-p1,279,GO:0016020,1,membrane,Cellular Component,574998253;574995914,ETW56941;ETW58816,NA
918,NA,NA,NA,PF3D7_1100700.1-p1,286,GO:0016021,1,integral component of membrane,Cellular Component,910271601,KNG75136,NA
919,NA,NA,NA,PF3D7_1100800.1-p1,231,GO:0016021;GO:0020036;GO:0042000,3,integral component of membrane;Maurer's cleft;translocation of peptides or proteins into host,Cellular Component;Cellular Component;Biological Process,258597178;1304177280;1016051921,PKC49216;CZT98676;XP_001347698,NA
920,NA,NA,NA,PF3D7_1101000.1-p1,133,GO:0000166;GO:0003676;GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,12,"nucleotide binding;nucleic acid binding;pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Molecular Function;Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304177369,PKC49305,NA
921,NA,NA,NA,PF3D7_1101500.1-p1,308,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,258597180;1016051925,XP_001347704;CZT98683,NA
922,NA,NA,NA,PF3D7_1101600.1-p1,230,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,1369352664;914551181;296004788;1304171500;23510590;1016051926;914551711;124505141;1304174306;914580067;574969255;574982179;124505667;4493996;1304176020;1016051492;124803036;574996648;225632130;1304173452;124801540;1016051899;1304177162;124803405;914551743,KOB86486;PKC48003;PKC43525;PKC45468;PKC46313;PKC49098;ETW57622;SOS81774;CZT98684;XP_001347705;XP_001350947;XP_002808746;CAB39055;CZT98235;CZT98653;XP_001349724;XP_001351312;XP_001347675;CAD48972;CAX64019;ETW43933;ETW32260;KOB63837;KOB63861;KOB63509,NA
923,NA,NA,NA,PF3D7_1101700.1-p1,231,GO:0016021;GO:0020005;GO:0020036;GO:0042000,4,integral component of membrane;symbiont-containing vacuole membrane;Maurer's cleft;translocation of peptides or proteins into host,Cellular Component;Cellular Component;Cellular Component;Biological Process,124803408;1304177262;1016051927,PKC49198;XP_001347706;CZT98685,NA
924,NA,NA,NA,PF3D7_1101900.1-p1,141,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1369352503,SOS81868,NA
925,NA,NA,NA,PF3D7_1102500.1-p1,624,GO:0016021;GO:0044538,2,integral component of membrane;host cell periphery,Cellular Component;Cellular Component,574987572;1304177181;1016051932;124803430;583225400;579121994,EUR70625;EWC88083;PKC49117;ETW48850;XP_001347713;CZT98692,NA
926,NA,NA,NA,PF3D7_1102600.1-p1,271,GO:0016021,1,integral component of membrane,Cellular Component,1016051933;1304177240;124803432;583225401,EWC88084;PKC49176;XP_001347714;CZT98693,NA
927,NA,NA,NA,PF3D7_1103000.1-p1,91,GO:0016021,1,integral component of membrane,Cellular Component,1304177210;124803447;1016051937,PKC49146;XP_001347718;CZT98697,NA
928,NA,NA,NA,PF3D7_1115800.1-p1,304,,NA,,,583225520;1016052058;124803865;1304176962,PKC48898;EWC88203;XP_001347837;CZT98818,NA
929,NA,NA,NA,PF3D7_1135200.1-p1,484,,NA,,,583225047;583214475,EWC87782;EWC75837,NA
930,NA,NA,NA,PF3D7_1141100.1-p1,2563,,NA,,,1304177037;124804724;1016052312,PKC48973;CZT99074;XP_001348092,NA
931,NA,NA,NA,PF3D7_1146300.1-p1,244,GO:0016021,1,integral component of membrane,Cellular Component,1371546850;1016052364;1304177243,PKC49179;XP_024329138;CZT99126,NA
932,NA,NA,NA,PF3D7_1148900.1-p1,89,GO:0016021;GO:0020036,2,integral component of membrane;Maurer's cleft,Cellular Component;Cellular Component,574973509;1304174716;574987140;579120997;583214210;574997479;574967110;914551589;124804955;574749676;574980072;583224909;1016052384;579332849;574995261,XP_001348161;CZT99146;EWC75622;ETW58121;EUT83738;KOB63746;EUR69645;EWC87669;PKC46720;ETW56317;ETW48433;ETW41846;ETW35682;ETW30238;ETW17869,NA
933,NA,NA,NA,PF3D7_1149400.1-p1,209,,NA,,,583224915;1304174717;1016052390;258597442,PKC46721;EWC87675;CZT99152;XP_001348167,NA
934,NA,NA,NA,PF3D7_1149700.1-p1,85,,NA,,,914578448;1304174712;1016052392;124804985,KOB84874;PKC46716;CZT99155;XP_001348170,NA
935,NA,NA,NA,PF3D7_1149900.1-p1,308,GO:0016021;GO:0020013;GO:0020036,3,integral component of membrane;modulation by symbiont of host erythrocyte aggregation;Maurer's cleft,Cellular Component;Biological Process;Cellular Component,1016052394;124804991;583224924;1304174707,EWC87684;PKC46711;XP_001348172;CZT99157,NA
936,NA,NA,NA,PF3D7_1150400.1-p1,3119,GO:0000981;GO:0005634;GO:0006357;GO:0008270;GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,14,"DNA-binding transcription factor activity, RNA polymerase II-specific;nucleus;regulation of transcription by RNA polymerase II;zinc ion binding;pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Molecular Function;Cellular Component;Biological Process;Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1016052398;124805005,CZT99162;XP_001348176,NA
937,NA,NA,NA,PF3D7_1200100.1-p1,2178,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304176621;124805331;1016053176,PKC48579;CZT99163;XP_001350410,NA
938,NA,NA,NA,PF3D7_1200400.1-p1,2860,GO:0000166;GO:0003676;GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,12,"nucleotide binding;nucleic acid binding;pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Molecular Function;Molecular Function;Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1016053179;1304176682;124805343,PKC48640;CZT99166;XP_001350413,NA
939,NA,NA,NA,PF3D7_1200600.1-p1,3056,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1016053181;1304176232;124805350,PKC48190;XP_001350415;CZT99168,NA
940,NA,NA,NA,PF3D7_1200900.1-p1,383,GO:0016021,1,integral component of membrane,Cellular Component,1304176607;914550110;1016053185;124805359,PKC48565;XP_001350418;CZT99172;KOB62813,NA
941,NA,NA,NA,PF3D7_1201000.1-p1,653,GO:0016021,1,integral component of membrane,Cellular Component,124805363;1304176554;1016053186,PKC48512;XP_001350419;CZT99173,NA
942,NA,NA,NA,PF3D7_1201100.1-p1,900,GO:0016021,1,integral component of membrane,Cellular Component,574979876;574987104;1304176442;124805367;575000060;583214154;910274792;574995225;1016053187;574749614,KNG78321;PKC48400;ETW56282;ETW48400;CZT99174;XP_001350420;ETW41651;EWC75581;ETW60538;ETW17824,NA
943,NA,NA,NA,PF3D7_1201200.1-p1,221,GO:0016021,1,integral component of membrane,Cellular Component,574979877;574973462;914550113;124805371;1016053188;574749615;1304176515,PKC48473;CZT99175;XP_001350421;ETW41652;ETW35642;ETW17825;KOB62816,NA
944,NA,NA,NA,PF3D7_1201400.1-p1,1129,GO:0016021,1,integral component of membrane,Cellular Component,1304176590;124805379;1016053190,PKC48548;CZT99177;XP_001350423,NA
945,NA,NA,NA,PF3D7_1204900.1-p1,130,GO:0016021;GO:0020011,2,integral component of membrane;apicoplast,Cellular Component;Cellular Component,1016053224;1304176244;124805502,PKC48202;CZT99211;XP_001350458,NA
946,NA,NA,NA,PF3D7_1219300.1-p1,2256,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,124805987;1016053366;1304176192,PKC48150;XP_001350595;CZT99354,NA
947,NA,NA,NA,PF3D7_1219400.1-p1,1136,GO:0009405;GO:0016021;GO:0044650;GO:0046789,4,pathogenesis;integral component of membrane;adhesion of symbiont to host cell;host cell surface receptor binding,Biological Process;Cellular Component;Biological Process;Molecular Function,583224833,EWC87609,NA
948,NA,NA,NA,PF3D7_1219500.1-p1,270,GO:0016020;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0046789;GO:0050839,8,"membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;host cell surface receptor binding;cell adhesion molecule binding",Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Molecular Function;Molecular Function,583224834,EWC87610,NA
949,NA,NA,NA,PF3D7_1240300.1-p1,2646,GO:0009405;GO:0016021;GO:0020002;GO:0020013;GO:0020030;GO:0020033;GO:0020035;GO:0044650;GO:0046789;GO:0050839,10,"pathogenesis;integral component of membrane;host cell plasma membrane;modulation by symbiont of host erythrocyte aggregation;infected host cell surface knob;antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;adhesion of symbiont to host cell;host cell surface receptor binding;cell adhesion molecule binding",Biological Process;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Biological Process;Molecular Function;Molecular Function,1304176522;124806687;1016053568,PKC48480;XP_001350796;CZT99562,NA
